GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 42.01, block group 2",0,8,23,18,0,3,3,2.530231E12,40,15,1507,39
"DC Tract 42.02, block group 1",0,12,11,10,0,0,1,1.2101105E12,18,13,1025,80
"DC Tract 42.02, block group 2",0,8,11,8,1,1,1,1.2101105E12,10,12,1051,72
"DC Tract 43, block group 1",0,8,26,18,2,1,1,2.8602611E12,12,14,1068,29
"DC Tract 43, block group 2",0,7,20,14,2,0,0,2.2002009E12,17,11,667,31
"DC Tract 44, block group 1",0,19,44,35,2,3,3,4.8404419E12,51,12,1889,35
"DC Tract 44, block group 2",0,19,45,32,4,3,4,4.950452E12,32,18,934,18
"DC Tract 46, block group 1",0,6,21,12,3,2,2,2.310211E12,8,8,271,3
"DC Tract 46, block group 2",0,21,27,16,4,3,1,2.9702712E12,33,10,474,9
"DC Tract 47.01, block group 1",0,4,31,17,5,5,4,3.4103115E12,0,1,5,3
"DC Tract 47.01, block group 2",0,11,70,36,6,10,9,7.7007033E12,10,4,560,12
"DC Tract 47.02, block group 1",0,24,33,18,5,4,4,3.6303316E12,8,2,655,38
"DC Tract 48.01, block group 1",0,26,27,18,2,2,0,2.9702713E12,23,8,804,12
"DC Tract 48.02, block group 1",0,9,25,17,3,2,3,2.7502512E12,8,5,489,6
"DC Tract 48.02, block group 2",0,8,33,19,2,0,2,3.6303316E12,8,15,329,6
"DC Tract 49.01, block group 1",0,7,22,9,1,1,1,2.4202211E12,18,28,258,3
"DC Tract 49.01, block group 2",0,15,20,14,3,1,2,2.200201E12,8,9,452,17
"DC Tract 49.02, block group 1",0,8,17,6,3,1,1,1.8701708E12,6,11,212,3
"DC Tract 49.02, block group 2",0,14,29,18,3,2,2,3.1902914E12,24,8,1030,36
"DC Tract 50.01, block group 1",0,11,5,4,0,1,0,550050250055,26,11,570,8
"DC Tract 50.01, block group 2",0,8,12,8,1,1,2,1.3201206E12,17,10,588,29
"DC Tract 50.02, block group 1",0,3,26,15,4,2,3,2.8602613E12,21,11,647,14
"DC Tract 50.02, block group 2",0,7,16,12,0,2,2,1.7601608E12,18,4,1322,25
"DC Tract 50.02, block group 3",0,9,12,9,1,3,1,1.3201206E12,13,6,510,25
"DC Tract 50.02, block group 4",0,5,11,8,0,3,2,1.2101106E12,19,5,567,18
"DC Tract 52.01, block group 1",0,7,8,3,1,1,1,880080416088,8,4,1314,51
"DC Tract 52.01, block group 2",0,10,13,11,1,1,2,1.4301307E12,16,5,1000,54
"DC Tract 52.01, block group 3",0,3,2,2,0,0,0,220020104026,16,7,667,18
"DC Tract 52.01, block group 4",0,6,29,20,0,2,2,3.1902915E12,27,10,1158,43
"DC Tract 53.01, block group 1",0,3,9,8,0,0,1,990090477099,18,8,756,41
"DC Tract 53.01, block group 2",0,6,9,7,2,0,0,990090477108,18,6,901,79
"DC Tract 53.01, block group 3",0,8,6,4,0,0,0,660060318078,7,1,945,81
"DC Tract 53.01, block group 4",0,6,8,8,0,2,2,880080424112,16,8,1174,62
"DC Tract 55, block group 1",0,18,11,6,0,2,2,1.2101106E12,12,9,673,104
"DC Tract 55, block group 2",0,13,36,22,4,3,2,3.960362E12,38,11,1582,143
"DC Tract 55, block group 3",0,13,13,9,2,2,2,1.4301307E12,21,8,1033,90
"DC Tract 55, block group 4",0,3,7,5,0,0,0,770070385028,15,8,694,69
"DC Tract 55, block group 5",0,5,5,5,0,0,0,550050275025,5,8,572,40
"DC Tract 56, block group 1",0,14,16,10,1,1,1,1.7601609E12,13,7,1053,109
"DC Tract 56, block group 2",0,25,7,4,2,0,0,770070392014,11,9,1032,577
"DC Tract 56, block group 3",0,7,10,8,1,1,2,1.1001006E12,21,6,1261,112
"DC Tract 56, block group 4",0,7,8,3,0,0,0,880080448032,6,3,815,72
"DC Tract 58, block group 1",0,45,22,18,1,0,0,2.4202213E12,15,4,648,72
"DC Tract 58, block group 2",0,18,17,13,0,1,2,1.870171E12,23,5,972,67
"DC Tract 59, block group 1",0,42,11,8,0,0,0,1.2101106E12,12,5,1670,25
"DC Tract 62.02, block group 1",0,254,,,,,,,0,0,7,0
"DC Tract 64, block group 1",0,10,20,7,0,5,5,2.2002013E12,0,2,67,4
"DC Tract 64, block group 2",0,34,24,11,2,3,3,2.6402415E12,2,2,62,3
"DC Tract 65, block group 1",0,13,6,3,1,0,0,660060390006,31,25,659,73
"DC Tract 65, block group 2",0,29,16,11,0,1,2,1.760161E12,69,50,1060,121
"DC Tract 66, block group 1",0,25,24,18,1,4,1,2.6402416E12,92,101,1289,236
"DC Tract 67, block group 1",0,11,28,25,0,5,4,3.0802819E12,62,48,686,51
"DC Tract 67, block group 2",0,11,19,14,0,0,0,2.0901913E12,58,58,765,89
"DC Tract 67, block group 3",0,14,22,19,1,0,1,2.4202215E12,81,67,980,132
"DC Tract 68.01, block group 1",0,11,24,17,0,1,3,2.6402416E12,23,12,334,9
"DC Tract 68.01, block group 2",0,6,17,14,0,0,1,1.8701712E12,31,7,228,3
"DC Tract 68.02, block group 1",0,7,22,17,0,1,1,2.4202215E12,19,11,261,12
"DC Tract 68.02, block group 2",0,16,36,30,2,2,3,3.9603624E12,57,46,515,16
"DC Tract 68.04, block group 1",0,26,22,3,6,8,6,2.4202215E12,1,0,183,3
"DC Tract 69, block group 1",0,18,46,32,1,3,5,5.0604632E12,50,42,747,48
"DC Tract 69, block group 2",0,12,22,18,1,1,3,2.4202215E12,50,28,415,24
"DC Tract 70, block group 1",0,17,26,21,1,1,2,2.8602618E12,62,34,870,100
"DC Tract 70, block group 2",0,24,12,10,0,3,2,1.3201208E12,23,16,1050,54
"DC Tract 71, block group 1",0,34,15,10,0,0,0,1.6501511E12,10,6,150,2
"DC Tract 71, block group 2",0,14,45,26,2,3,2,4.9504532E12,44,22,723,20
"DC Tract 72, block group 1",0,28,48,37,3,2,4,5.2804835E12,39,7,1333,10
"DC Tract 72, block group 2",0,66,16,7,4,2,1,1.7601612E12,3,4,271,3
"DC Tract 73.01, block group 1",0,143,116,75,3,11,18,1.2761168E13,308,190,1288,5
"DC Tract 73.04, block group 1",0,14,47,16,9,9,10,5.1704734E12,1,1,8,3
"DC Tract 73.04, block group 2",0,7,17,6,0,2,1,1.8701712E12,0,0,17,2
"DC Tract 73.04, block group 3",0,6,15,3,1,1,1,1.6501511E12,0,0,4,5
"DC Tract 74.01, block group 1",0,42,15,4,4,0,2,1.6501511E12,1,2,5,2
"DC Tract 74.01, block group 2",0,5,20,4,4,6,3,2.2002015E12,0,0,6,1
"DC Tract 74.03, block group 1",0,8,67,27,13,7,10,7.370675E12,1,0,11,0
"DC Tract 74.04, block group 1",0,12,53,13,7,8,4,5.8305339E12,0,4,12,1
"DC Tract 74.04, block group 2",0,12,22,7,2,5,4,2.4202216E12,3,5,13,1
"DC Tract 74.04, block group 3",0,5,8,2,3,1,0,880080592344,0,0,2,0
"DC Tract 74.06, block group 1",0,2,38,18,3,3,2,4.1803828E12,1,2,9,1
"DC Tract 74.06, block group 2",0,1,55,22,6,6,5,6.0505541E12,0,3,4,0
"DC Tract 74.07, block group 1",0,13,12,6,1,0,1,1.3201209E12,0,0,2,3
"DC Tract 74.07, block group 2",0,12,45,20,6,6,10,4.9504533E12,0,2,25,0
"DC Tract 74.08, block group 1",0,13,76,23,13,10,10,8.3607656E12,1,4,27,0
"DC Tract 74.09, block group 1",0,3,21,7,3,3,3,2.3102116E12,0,2,9,0
"DC Tract 74.09, block group 2",0,5,31,13,3,3,2,3.4103123E12,0,2,6,0
"DC Tract 74.09, block group 3",0,6,44,16,5,3,2,4.8404433E12,0,0,1,0
"DC Tract 75.02, block group 1",0,6,55,14,10,12,14,6.0505541E12,0,2,13,14
"DC Tract 75.02, block group 2",0,10,46,21,8,8,7,5.0604635E12,0,0,12,2
"DC Tract 75.03, block group 1",0,20,14,6,3,2,2,1.5401411E12,0,0,14,4
"DC Tract 75.03, block group 2",0,7,43,12,5,13,12,4.7304332E12,0,0,19,2
"DC Tract 75.04, block group 1",0,11,75,23,18,9,7,8.2507556E12,2,1,22,0
"DC Tract 76.01, block group 1",0,9,11,5,0,3,2,1.2101108E12,1,4,18,5
"DC Tract 76.01, block group 2",0,15,11,5,0,0,1,1.2101108E12,0,0,22,4
"DC Tract 76.01, block group 3",0,15,24,13,2,6,4,2.6402418E12,2,1,39,23
"DC Tract 76.01, block group 4",0,11,30,13,4,3,5,3.3003023E12,0,0,3,1
"DC Tract 76.01, block group 5",0,26,15,5,4,4,4,1.6501511E12,0,0,14,3
"DC Tract 76.03, block group 1",0,7,25,12,2,0,0,2.7502519E12,1,2,37,7
"DC Tract 76.03, block group 2",0,12,13,8,1,2,2,1.430131E12,5,1,25,11
"DC Tract 76.03, block group 3",0,13,6,2,2,0,1,660060456198,3,3,32,12
"DC Tract 76.03, block group 4",0,10,18,10,3,0,1,1.9801814E12,5,3,63,34
"DC Tract 76.04, block group 1",0,10,14,3,3,2,2,1.5401411E12,0,0,18,6
"DC Tract 76.04, block group 2",0,34,14,6,0,0,1,1.5401411E12,4,8,65,12
"DC Tract 76.04, block group 3",0,13,8,2,3,1,1,880080608344,1,1,26,7
"DC Tract 76.05, block group 1",0,10,10,5,2,3,3,1.1001008E12,0,0,6,4
"DC Tract 76.05, block group 2",0,5,28,11,5,4,5,3.0802821E12,3,1,23,4
"DC Tract 76.05, block group 3",0,6,17,5,2,3,2,1.8701713E12,0,0,5,1
"DC Tract 77.03, block group 1",0,7,16,7,2,1,2,1.7601612E12,3,1,23,0
"DC Tract 77.03, block group 2",0,10,18,6,3,2,0,1.9801814E12,1,0,6,1
"DC Tract 77.03, block group 3",0,6,69,22,13,12,13,7.5906953E12,0,1,9,0
"DC Tract 77.03, block group 4",0,4,14,6,1,3,2,1.5401411E12,2,1,4,1
"DC Tract 77.07, block group 1",0,14,59,19,13,7,6,6.4905945E12,0,0,15,1
"DC Tract 77.07, block group 2",0,26,17,7,2,2,1,1.8701713E12,1,3,21,1
"DC Tract 77.08, block group 1",0,6,25,8,4,5,5,2.7502519E12,0,0,2,1
"DC Tract 77.08, block group 2",0,22,31,15,6,6,9,3.4103124E12,0,2,5,1
"DC Tract 77.09, block group 1",0,33,15,6,2,3,3,1.6501512E12,1,2,15,3
"DC Tract 77.09, block group 2",0,16,18,7,4,2,2,1.9801814E12,0,1,10,6
"DC Tract 78.03, block group 1",0,15,31,13,5,7,3,3.4103124E12,0,0,5,0
"DC Tract 78.03, block group 2",0,8,12,5,1,1,0,1.3201209E12,0,0,7,2
"DC Tract 78.03, block group 3",0,12,12,7,1,0,0,1.3201209E12,0,0,1,1
"DC Tract 78.03, block group 4",0,7,26,9,6,1,2,2.860262E12,0,4,16,0
"DC Tract 78.04, block group 1",0,18,24,9,7,2,4,2.6402419E12,0,1,1,2
